ID,mean
ID798,77.0
ID741,77.0
ID855,77.0
ID912,77.0
ID969,77.0
ID1083,72.63529411764705
ID1140,70.0
ID1026,77.0
ID970,77.0
ID1027,77.0
ID971,77.0
ID972,80.74117647058824
ID1028,77.0
ID1029,80.74117647058824
ID1085,72.63529411764705
ID1086,78.31764705882352
ID1084,72.63529411764705
ID1141,70.0
ID1142,70.0
ID1143,76.85882352941177
ID1087,81.75294117647059
ID1144,81.0
ID1145,81.0
ID1088,81.75294117647059
ID1031,83.0
ID1030,83.0
ID973,83.0
ID974,83.0
ID917,83.0
ID916,83.0
ID860,83.0
ID859,83.0
ID915,80.74117647058824
ID858,80.74117647058824
ID914,77.0
ID913,77.0
ID856,77.0
ID857,77.0
ID800,77.0
ID801,80.74117647058824
ID799,77.0
ID742,77.0
ID743,77.0
ID744,80.74117647058824
ID745,83.0
ID802,83.0
ID803,83.0
ID746,83.0
ID687,80.74117647058824
ID688,83.0
ID689,83.0
ID632,83.0
ID631,83.0
ID575,83.0
ID574,83.0
ID630,80.74117647058824
ID573,80.74117647058824
ID686,77.0
ID629,77.0
ID685,77.0
ID628,77.0
ID572,77.0
ID571,77.0
ID570,77.0
ID627,77.0
ID684,77.0
ID513,77.37647058823529
ID456,78.0
ID399,78.0
ID400,78.0
ID401,78.0
ID402,80.49411764705883
ID457,78.0
ID458,78.0
ID459,80.49411764705883
ID514,77.37647058823529
ID515,77.37647058823529
ID516,80.64705882352942
ID460,82.0
ID517,82.62352941176471
ID518,82.62352941176471
ID461,82.0
ID404,82.0
ID403,82.0
ID345,80.49411764705883
ID346,82.0
ID347,82.0
ID405,82.0
ID348,82.0
ID462,82.0
ID406,82.0
ID463,82.0
ID349,82.0
ID407,82.62352941176471
ID350,82.62352941176471
ID408,83.0
ID351,83.0
ID352,83.0
ID409,83.0
ID465,83.0
ID466,83.0
ID464,82.62352941176471
ID521,83.63529411764705
ID520,82.62352941176471
ID522,84.24705882352941
ID523,84.24705882352941
ID579,85.0
ID580,85.0
ID578,84.24705882352941
ID577,83.0
ID576,83.0
ID519,82.62352941176471
ID633,83.0
ID634,83.0
ID691,83.0
ID690,83.0
ID747,83.0
ID748,83.0
ID692,84.24705882352941
ID693,85.0
ID749,84.24705882352941
ID750,85.0
ID751,85.0
ID694,85.0
ID637,85.0
ID636,85.0
ID635,84.24705882352941
ID581,85.0
ID638,85.0
ID582,79.38823529411765
ID639,79.38823529411765
ID696,79.38823529411765
ID695,85.0
ID752,85.0
ID753,79.38823529411765
ID697,76.0
ID754,76.0
ID698,76.0
ID755,76.0
ID756,76.0
ID699,76.0
ID642,76.0
ID641,76.0
ID640,76.0
ID583,76.0
ID584,76.0
ID585,76.0
ID528,76.75294117647059
ID527,76.75294117647059
ID526,76.75294117647059
ID470,78.0
ID471,78.0
ID469,78.0
ID468,79.88235294117646
ID525,79.5764705882353
ID524,84.24705882352941
ID467,83.0
ID411,79.88235294117646
ID410,83.0
ID353,83.0
ID354,79.88235294117646
ID412,78.0
ID355,78.0
ID413,78.0
ID414,78.0
ID356,78.0
ID357,78.0
ID415,78.0
ID358,78.0
ID416,73.01176470588234
ID359,73.01176470588234
ID472,78.0
ID473,73.01176470588234
ID529,76.75294117647059
ID586,76.0
ID530,72.92941176470588
ID587,72.88235294117648
ID474,70.0
ID531,70.62352941176471
ID588,71.0
ID532,70.62352941176471
ID589,71.0
ID475,70.0
ID418,70.0
ID417,70.0
ID360,70.0
ID361,70.0
ID362,70.0
ID419,70.0
ID363,70.62352941176471
ID420,70.62352941176471
ID476,70.0
ID477,70.62352941176471
ID478,71.0
ID421,71.0
ID364,71.0
ID422,71.0
ID365,71.0
ID423,71.0
ID366,71.0
ID479,71.0
ID480,71.0
ID535,71.0
ID536,71.0
ID537,71.0
ID594,71.0
ID593,71.0
ID592,71.0
ID591,71.0
ID534,70.85882352941177
ID533,70.62352941176471
ID590,71.0
ID647,71.0
ID648,71.0
ID646,71.0
ID649,71.0
ID650,71.0
ID651,71.0
ID706,71.0
ID707,71.0
ID708,71.0
ID764,71.0
ID765,71.0
ID763,71.0
ID762,71.0
ID705,71.0
