BUFF_DIST,Lat,Lng,meanPreci,year,Month,S_sheep (51),S_goats (25),S_total,N_sheep (50),N_goats (48),N_total,S_sheep,S_goats,N_sheep,N_goats
500,0.556666,36.031246,33,2009,1,,,0,,,0,,,,
500,0.556666,36.031246,24,2009,2,,,0,,,0,,,,
500,0.556666,36.031246,17,2009,3,,,0,,,0,,,,
500,0.556666,36.031246,104,2009,4,,,0,,,0,,,,
500,0.556666,36.031246,85,2009,5,0.019607843,0,0.013157895,,,0,1,0,,
500,0.556666,36.031246,19,2009,6,,,0,,,0,,,,
500,0.556666,36.031246,63,2009,7,,,0,,,0,,,,
500,0.556666,36.031246,60,2009,8,,,0,,,0,,,,
500,0.556666,36.031246,30,2009,9,,,0,,,0,,,,
500,0.556666,36.031246,52,2009,10,,,0,,,0,,,,
500,0.556666,36.031246,41,2009,11,0.075471698,0.16,0.102564103,0.22,0.3125,0.265306122,4,4,11,15
500,0.556666,36.031246,56,2009,12,,,0,,,0,,,,
500,0.556666,36.031246,45,2010,1,0.132075472,0.16,0.141025641,0.2,0.291666667,0.244897959,7,4,10,14
500,0.556666,36.031246,50,2010,2,,,0,,,0,,,,
500,0.556666,36.031246,98,2010,3,,,0,,,0,,,,
500,0.556666,36.031246,80,2010,4,0,0.04,0.012820513,0.016666667,0.054545455,0.026086957,0,1,1,3
500,0.556666,36.031246,103,2010,5,0,0,0,,,0,0,0,,
500,0.556666,36.031246,46,2010,6,,,0,,,0,,,,
500,0.556666,36.031246,56,2010,7,,,0,,,0,,,,
500,0.556666,36.031246,77,2010,8,,,0,,,0,,,,
500,0.556666,36.031246,28,2010,9,,,0,,,0,,,,
500,0.556666,36.031246,44,2010,10,,,0,,,0,,,,
500,0.556666,36.031246,37,2010,11,,,0,,,0,,,,
500,0.556666,36.031246,26,2010,12,,,0,,,0,,,,
500,0.556666,36.031246,20,2011,1,,,0,,,0,,,,
500,0.556666,36.031246,15,2011,2,,,0,,,0,,,,
500,0.556666,36.031246,75,2011,3,,,0,,,0,,,,
500,0.556666,36.031246,47,2011,4,0.056603774,0.04,0.051282051,,,0,3,1,,
500,0.556666,36.031246,76,2011,5,,,0,,,0,,,,
500,0.556666,36.031246,37,2011,6,,,0,,,0,,,,
500,0.556666,36.031246,58,2011,7,,,0,,,0,,,,
500,0.556666,36.031246,60,2011,8,0,0,0,0.020408163,0.020408163,0.020408163,,,1,1
500,0.556666,36.031246,57,2011,9,,,0,,,0,,,,
500,0.556666,36.031246,50,2011,10,0.019607843,0,0.013157895,0.24,0.217391304,0.229166667,1,0,12,10
500,0.556666,36.031246,52,2011,11,,,0,,,0,,,,
500,0.556666,36.031246,21,2011,12,,,0,,,0,,,,
500,0.556666,36.031246,46,2012,1,,,0,,,0,,,,
500,0.556666,36.031246,8,2012,2,,,0,,,0,,,,
500,0.556666,36.031246,21,2012,3,,,0,0.104166667,0.096153846,0.1,,,5,5
500,0.556666,36.031246,103,2012,4,,,0,,,0,,,,
500,0.556666,36.031246,121,2012,5,,,0,0.055555556,0.173913043,0.11,,,3,8
