d_oldage,d_health,d_rvf,d_cbpp,hsize_mean,hsize_min,hsize_max,rvf,cbpp
1791,15,470,127,2.75,0,26,0.8400000000000001,0.8800000000000001
1765,11,468,128,2.85,0,23,0.7,0.76
1780,13,482,137,2.57,0,26,0.9199999999999999,0.78
1754,21,498,144,2.18,0,22,0.58,0.7
1815,17,467,148,3.03,0,19,0.86,0.76
1781,26,491,134,2.49,0,24,0.7400000000000001,0.7000000000000001
1810,13,485,117,3.73,0,40,0.72,0.8800000000000001
1831,18,470,122,3.31,0,18,0.8600000000000001,0.86
1850,17,476,112,3.31,0,27,0.72,0.76
1818,27,469,114,3.6,0,28,0.86,0.8200000000000001
1841,13,474,106,3.29,0,22,0.8,0.8400000000000001
1847,11,481,97,3.47,0,29,0.7,0.86
1805,15,480,123,3.92,0,33,0.6799999999999999,0.6799999999999999
1831,17,479,122,3.26,0,40,0.8,0.8
1837,26,482,92,3.5,0,30,0.78,0.9199999999999999
1804,20,484,103,2.69,0,16,0.78,0.86
1798,15,501,125,3.12,0,27,0.8200000000000001,0.78
1777,13,478,113,2.66,0,22,0.8399999999999999,0.8
1726,18,445,99,2.43,0,22,0.8400000000000001,0.8800000000000001
1787,17,474,97,2.73,0,22,0.8,0.8600000000000001
1794,21,505,107,2.51,0,19,0.7799999999999999,0.8399999999999999
1842,15,511,106,3.9,0,34,0.8400000000000001,0.8800000000000001
1859,17,493,99,3.93,0,33,0.74,0.76
1797,24,499,121,3.25,0,27,0.72,0.6799999999999999
1788,16,478,118,2.5,0,19,0.8400000000000001,0.8200000000000001
1799,8,464,102,2.62,0,26,0.72,0.86
1789,17,517,172,3.77,0,28,0.74,0.58
1836,22,489,122,3.06,0,20,0.74,0.74
1817,21,485,112,3.15,0,23,0.8200000000000001,0.78
1828,11,486,107,2.71,0,13,0.8400000000000001,0.8200000000000001
1854,18,502,99,4.31,0,29,0.6599999999999999,0.8800000000000001
1762,10,486,110,2.88,0,27,0.82,0.8
1765,19,515,139,3.04,0,22,0.8800000000000001,0.8
1795,16,477,104,2.75,0,28,0.82,0.9
1836,25,510,124,3.86,0,23,0.8200000000000001,0.7799999999999999
1782,19,469,133,2.36,0,21,0.76,0.8400000000000001
1798,17,480,130,2.82,0,18,0.78,0.8800000000000001
1801,18,492,106,2.88,0,36,0.8400000000000001,0.78
1815,10,478,116,3.85,0,25,0.72,0.76
1769,11,501,113,3.47,0,25,0.7,0.8
1802,10,472,117,3.64,0,26,0.8600000000000001,0.74
1832,21,514,119,3.6,0,29,0.8200000000000001,0.7
1775,13,511,120,3.83,0,23,0.76,0.8
1846,17,468,94,3.69,0,31,0.8399999999999999,0.86
1831,26,508,112,3.78,0,24,0.74,0.8800000000000001
1817,13,485,101,3.0,0,19,0.8,0.82
1824,14,470,103,3.86,0,33,0.8,0.8400000000000001
1754,17,470,138,2.84,0,20,0.8200000000000001,0.8200000000000001
1763,14,502,119,2.6,0,40,0.6199999999999999,0.86
1830,15,512,144,3.52,0,24,0.7,0.66
