d_oldage,d_health,d_rvf,d_cbpp,hsize_mean,hsize_min,hsize_max,rvf,cbpp
1423,10,625,380,0.16,0,4,0.04000000000000001,0.02000000000000001
1421,11,619,359,0.23,0,7,-0.09999999999999999,-0.08
1442,8,634,415,0.14,0,5,0.04,-0.06
1413,10,601,411,0.12,0,3,0.06000000000000001,-5.551115123125783e-18
1447,11,590,377,0.18,0,6,0.12000000000000002,-0.1
1432,10,642,376,0.41,0,8,-0.07999999999999999,-0.14
1397,10,642,426,0.13,0,4,-0.06000000000000001,-0.08
1414,10,684,347,0.27,0,13,-0.06,0.04
1436,7,651,375,0.29,0,7,0.0,0.020000000000000007
1455,13,626,369,0.22,0,5,-0.06000000000000001,0.2
1437,7,658,356,0.24,0,4,0.14,0.13999999999999999
1450,7,597,412,0.32,0,5,0.06000000000000001,0.14
1438,6,643,362,0.49,0,9,0.08,0.059999999999999984
1423,4,623,398,0.09,0,2,0.08,0.020000000000000007
1452,15,633,399,0.72,0,13,0.08000000000000002,0.08
1389,8,686,331,0.04,0,2,-0.1,0.16
1427,5,625,379,0.31,0,6,-0.059999999999999984,0.0
1420,5,613,372,0.12,0,3,-0.13999999999999999,-0.1
1395,4,594,322,0.11,0,6,0.039999999999999994,-0.06000000000000001
1427,7,641,369,0.26,0,6,-0.16,5.551115123125783e-18
1400,11,658,365,0.15,0,3,-0.02,0.06
1406,12,679,454,0.04,0,3,0.22000000000000003,0.14
1415,9,639,380,0.26,0,10,0.019999999999999997,-0.12
1435,12,612,401,0.38,0,8,-0.14,-0.02
1378,3,662,345,0.11,0,2,0.08,0.04
1472,5,582,329,0.08,0,3,0.020000000000000007,-0.16
1427,15,653,393,0.17,0,6,-0.02,-0.16
1434,16,670,426,0.29,0,6,-0.08,-0.1
1433,15,606,415,0.19,0,5,-0.14000000000000004,0.1
1424,8,671,377,0.17,0,3,-0.04,-0.12
1489,13,601,408,0.27,0,5,-0.13999999999999999,0.08
1429,7,632,357,0.25,0,11,0.06,-0.06
1428,7,649,364,0.25,0,7,0.06,0.04
1436,7,594,393,0.27,0,6,-0.10000000000000002,-0.08
1445,19,685,393,0.41,0,12,0.01999999999999999,-0.08
1417,8,622,370,0.16,0,4,-0.13999999999999999,0.019999999999999997
1441,8,614,386,0.12,0,3,-0.019999999999999997,0.04
1363,12,623,414,0.22,0,6,0.06000000000000001,0.1
1470,8,620,350,0.13,0,3,-0.06000000000000001,-0.06000000000000001
1412,12,655,378,0.32,0,10,-0.14,0.15999999999999998
1414,6,635,378,0.06,0,3,0.1,-0.12
1418,11,659,376,0.22,0,7,-0.020000000000000007,-0.06000000000000001
1409,8,629,399,0.31,0,8,-0.08,-5.551115123125783e-18
1413,11,604,412,0.14,0,7,0.19999999999999998,0.020000000000000018
1435,5,730,398,0.26,0,6,0.02,-0.1
1478,13,666,341,0.23,0,3,-0.2,5.551115123125783e-18
1393,9,611,420,0.44,0,8,0.1,-0.019999999999999983
1412,14,616,385,0.29,0,5,-0.12,0.08000000000000002
1498,13,610,375,0.23,0,5,-0.08,-0.08
